lead_source,industry,employment_status,location,number_of_courses_viewed,annual_income,interaction_count,lead_score,converted
events,manufacturing,unemployed,europe,2,95543.0,3,0.78,0
referral,NA,student,south_america,1,54924.0,6,0.39,1
organic_search,healthcare,unemployed,europe,2,77352.0,2,0.22,0
paid_ads,other,employed,south_america,2,34600.0,2,0.31,0
paid_ads,education,unemployed,south_america,0,43615.0,2,0.01,0
referral,manufacturing,student,NA,1,59090.0,0,0.69,0
paid_ads,other,student,middle_east,1,23720.0,1,0.02,0
social_media,healthcare,unemployed,south_america,0,41832.0,1,0.66,0
organic_search,NA,unemployed,australia,0,59843.0,2,0.75,0
organic_search,retail,unemployed,south_america,0,94165.0,2,0.76,0
paid_ads,finance,self_employed,australia,1,65782.0,4,0.82,1
organic_search,healthcare,self_employed,middle_east,2,68293.0,1,0.27,0
social_media,finance,student,north_america,1,56746.0,3,0.98,0
organic_search,NA,student,asia,5,52409.0,3,0.78,1
referral,retail,self_employed,australia,2,58164.0,1,0.2,0
NA,manufacturing,unemployed,asia,2,61242.0,5,0.0,0
organic_search,healthcare,student,north_america,1,62672.0,5,0.94,1
referral,manufacturing,unemployed,australia,0,63391.0,2,0.68,0
NA,manufacturing,self_employed,south_america,3,62630.0,3,0.18,1
referral,healthcare,self_employed,middle_east,4,82306.0,3,0.25,1
social_media,retail,student,middle_east,2,50611.0,3,0.37,0
social_media,education,student,asia,2,60886.0,1,0.15,0
referral,manufacturing,self_employed,north_america,1,0.0,4,0.53,1
events,finance,self_employed,europe,1,66523.0,3,0.64,1
organic_search,finance,employed,asia,0,0.0,1,0.29,0
paid_ads,other,NA,australia,1,51729.0,5,0.03,0
social_media,finance,employed,NA,1,40801.0,5,0.5,1
events,finance,self_employed,asia,2,38400.0,1,0.88,0
events,NA,employed,north_america,5,63111.0,4,0.31,1
events,education,employed,europe,1,75049.0,6,0.78,1
events,NA,self_employed,south_america,1,78154.0,2,0.48,0
paid_ads,retail,employed,south_america,2,84952.0,2,0.04,0
NA,manufacturing,student,middle_east,2,0.0,7,0.82,1
social_media,healthcare,unemployed,europe,3,0.0,1,0.72,0
organic_search,finance,employed,north_america,1,48622.0,3,0.32,0
social_media,education,self_employed,africa,2,51367.0,3,0.91,1
social_media,manufacturing,self_employed,africa,0,44204.0,3,0.92,1
events,finance,student,middle_east,5,69397.0,3,0.31,1
events,retail,employed,africa,2,35832.0,4,0.78,1
referral,education,employed,middle_east,1,42907.0,7,0.83,1
social_media,NA,unemployed,south_america,2,53728.0,0,0.88,0
referral,retail,student,north_america,3,68607.0,2,0.51,1
paid_ads,retail,employed,australia,1,90569.0,4,0.52,1
paid_ads,education,student,africa,6,35212.0,1,0.54,1
organic_search,retail,unemployed,middle_east,1,53409.0,4,0.33,0
NA,healthcare,student,europe,3,58140.0,2,0.67,1
organic_search,NA,employed,north_america,4,54032.0,0,0.35,1
social_media,technology,self_employed,middle_east,3,0.0,4,0.18,1
events,finance,student,asia,4,50259.0,3,0.54,1
social_media,technology,student,europe,2,64299.0,2,0.27,1
organic_search,finance,NA,south_america,2,49140.0,5,0.57,1
events,other,unemployed,middle_east,3,52293.0,6,0.12,1
events,technology,employed,south_america,1,67145.0,4,0.9,1
referral,education,student,europe,1,54797.0,4,0.65,1
referral,retail,employed,africa,4,82408.0,1,0.51,1
events,manufacturing,student,south_america,3,65980.0,6,0.95,1
organic_search,healthcare,unemployed,south_america,1,48597.0,2,0.75,1
organic_search,finance,self_employed,europe,2,67211.0,3,0.13,1
events,healthcare,student,south_america,1,74927.0,2,0.15,0
organic_search,finance,student,europe,1,67553.0,2,0.61,1
organic_search,education,student,asia,1,65671.0,4,0.84,1
social_media,other,student,middle_east,1,0.0,3,0.58,1
paid_ads,technology,unemployed,australia,3,70470.0,4,0.71,1
events,education,employed,africa,1,69639.0,3,0.87,1
events,other,unemployed,NA,1,36116.0,6,0.24,0
paid_ads,education,self_employed,north_america,1,39740.0,6,0.97,1
paid_ads,other,employed,africa,0,81146.0,1,0.18,0
referral,finance,unemployed,africa,3,43599.0,5,0.37,1
social_media,finance,student,middle_east,0,51364.0,4,0.47,0
referral,education,self_employed,north_america,4,52279.0,3,0.96,1
paid_ads,technology,self_employed,asia,0,51683.0,4,0.36,0
paid_ads,retail,self_employed,middle_east,2,54023.0,2,0.7,0
paid_ads,manufacturing,unemployed,africa,2,56601.0,2,0.79,0
paid_ads,retail,employed,europe,2,0.0,3,0.52,1
NA,technology,student,middle_east,2,56229.0,3,0.12,1
NA,retail,student,middle_east,2,73921.0,5,0.42,1
NA,technology,self_employed,africa,3,46828.0,4,0.59,1
paid_ads,NA,self_employed,europe,0,43642.0,2,0.5,0
NA,other,NA,europe,2,51636.0,2,0.93,0
referral,finance,unemployed,australia,4,69904.0,7,0.34,1
referral,NA,self_employed,middle_east,3,78343.0,7,0.48,1
referral,healthcare,student,south_america,0,48902.0,4,0.36,1
social_media,other,employed,south_america,1,66006.0,5,0.64,1
paid_ads,manufacturing,student,middle_east,2,60180.0,4,0.23,1
NA,NA,student,middle_east,2,37512.0,3,0.04,0
referral,manufacturing,employed,australia,2,66206.0,3,0.3,1
events,other,employed,middle_east,0,0.0,5,0.75,1
referral,retail,student,australia,4,0.0,2,0.49,1
social_media,technology,self_employed,africa,2,77835.0,3,0.44,1
referral,manufacturing,NA,asia,2,64252.0,1,1.0,0
NA,technology,employed,asia,2,61066.0,1,0.36,1
social_media,technology,self_employed,north_america,1,57121.0,2,0.86,0
paid_ads,healthcare,self_employed,north_america,3,0.0,2,0.85,1
social_media,healthcare,unemployed,middle_east,1,64084.0,0,0.41,0
referral,technology,student,europe,3,65259.0,2,0.24,1
organic_search,healthcare,student,south_america,2,51338.0,3,0.03,0
social_media,retail,student,north_america,1,62807.0,2,0.33,0
events,manufacturing,employed,south_america,4,0.0,3,0.51,1
organic_search,manufacturing,unemployed,north_america,0,60851.0,3,0.38,0
paid_ads,technology,employed,asia,3,43685.0,2,0.16,1
organic_search,education,unemployed,australia,3,53005.0,2,0.95,1
NA,technology,unemployed,north_america,3,0.0,5,0.55,1
events,finance,student,asia,1,83929.0,4,0.02,0
social_media,healthcare,self_employed,north_america,1,46823.0,1,0.69,0
referral,education,self_employed,asia,1,68218.0,2,0.37,1
social_media,manufacturing,student,middle_east,3,47308.0,4,0.02,1
organic_search,healthcare,NA,australia,2,71768.0,4,0.56,0
NA,healthcare,self_employed,north_america,2,58210.0,1,0.62,0
organic_search,manufacturing,student,africa,3,44221.0,7,0.51,1
organic_search,technology,employed,asia,3,0.0,5,0.16,1
paid_ads,healthcare,unemployed,australia,5,65374.0,6,0.61,1
referral,NA,employed,north_america,2,56920.0,2,0.14,1
organic_search,finance,self_employed,australia,2,70294.0,3,0.82,1
referral,retail,student,asia,3,56119.0,6,0.7,1
paid_ads,finance,self_employed,NA,1,79662.0,2,0.21,0
organic_search,retail,self_employed,europe,0,55975.0,2,0.25,0
social_media,retail,self_employed,asia,4,53688.0,7,0.46,1
organic_search,healthcare,NA,north_america,1,54186.0,2,0.87,0
events,education,employed,australia,1,63592.0,4,0.44,1
social_media,technology,unemployed,africa,4,73190.0,3,0.56,1
events,healthcare,self_employed,NA,2,84672.0,3,0.76,1
referral,healthcare,self_employed,australia,1,57082.0,5,0.46,1
organic_search,other,employed,middle_east,1,53930.0,1,0.78,0
referral,education,unemployed,europe,2,58490.0,3,0.82,1
paid_ads,finance,NA,middle_east,4,55185.0,2,0.68,1
organic_search,education,NA,north_america,3,56828.0,4,0.16,1
organic_search,other,employed,europe,0,0.0,1,0.06,0
referral,finance,employed,africa,3,0.0,3,0.42,1
organic_search,healthcare,unemployed,south_america,5,55720.0,3,0.14,1
events,NA,student,NA,1,34730.0,3,0.31,0
organic_search,education,student,europe,3,62120.0,6,0.95,1
NA,other,NA,europe,3,0.0,1,0.51,1
social_media,retail,student,africa,2,24683.0,1,0.07,0
events,manufacturing,unemployed,africa,5,51847.0,3,0.79,1
NA,education,student,asia,1,60857.0,5,0.44,1
organic_search,other,NA,australia,3,62682.0,1,0.15,0
paid_ads,other,unemployed,australia,1,54915.0,3,0.96,0
social_media,healthcare,self_employed,africa,1,55222.0,1,0.25,0
paid_ads,other,self_employed,asia,1,64281.0,6,0.92,1
events,NA,self_employed,europe,1,82405.0,2,0.29,0
